Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
user count landing page,100,2090,1003,10506,10817,10867,884,10881,0.000%,9.11910,2.32,3.03
26  ,100,2090,1003,10506,10817,10867,884,10881,0.000%,9.11743,2.31,3.03
sign up page,100,666,332,2081,2684,5311,239,5374,0.000%,6.60720,1.68,2.88
29  ,100,666,332,2081,2684,5311,239,5374,0.000%,6.60720,1.68,2.88
otp page,100,517,317,1108,2317,2429,229,2514,0.000%,6.24259,1.97,2.47
pass code,100,548,333,1103,1453,5490,223,5629,0.000%,5.02715,1.28,1.67
finger print login ,100,1182,1039,1963,2021,3938,218,4083,0.000%,4.26767,1.02,1.73
36  ,100,2248,2008,4395,5156,11890,780,11996,0.000%,4.15386,3.35,4.71
home page,100,1421,1367,1807,2754,3803,348,3958,0.000%,3.81403,0.91,1.52
41  ,100,1421,1367,1807,2754,3803,348,3958,0.000%,3.81388,0.91,1.52
assessmentlist,100,1708,1301,3944,5373,5423,632,5583,0.000%,3.32856,0.79,1.32
45  ,100,1708,1301,3944,5373,5423,632,5583,0.000%,3.32856,0.79,1.32
financial assessment intro,100,2207,1894,3513,5565,5829,872,5885,0.000%,3.10020,20.06,1.09
57  ,100,2207,1894,3513,5565,5829,872,5885,0.000%,3.10020,20.06,1.09
assessment questions,100,1813,1810,2532,2641,5010,619,5021,0.000%,3.12490,2.02,1.10
58  ,100,1813,1810,2532,2641,5010,619,5021,0.000%,3.12490,2.02,1.10
assessment,100,4073,3922,5219,6500,7058,2036,9420,0.000%,2.95858,0.80,5.50
60  ,100,4073,3922,5219,6500,7058,2036,9420,0.000%,2.95858,0.80,5.50
report financial,100,2092,1879,2968,3239,5494,1089,5691,0.000%,2.97867,0.71,1.19
61  ,100,2092,1879,2968,3239,5494,1089,5691,0.000%,2.97867,0.71,1.19
p & N intro,100,2001,1781,2973,3357,4942,1015,5004,0.000%,2.92817,19.43,1.03
65  ,100,2001,1781,2973,3357,4942,1015,5004,0.000%,2.92817,19.43,1.03
Assessment question,100,1943,1710,3483,4041,4765,519,5193,0.000%,2.87952,2.20,1.02
69  ,100,1943,1710,3483,4041,4765,519,5193,0.000%,2.87952,2.20,1.02
71  assessment answers,100,5084,5373,7211,7390,7599,1399,8195,0.000%,2.78489,0.75,5.23
71  ,100,5084,5373,7211,7390,7599,1399,8195,0.000%,2.78489,0.75,5.23
report P & g,100,2949,2998,4090,4342,4765,1328,8609,0.000%,2.37750,0.57,0.95
72  ,100,2949,2998,4090,4342,4765,1328,8609,0.000%,2.37750,0.57,0.95
social intro,100,3038,3336,3990,4244,5712,694,17450,0.000%,1.75266,10.80,0.61
75  ,100,3038,3336,3990,4244,5712,694,17450,0.000%,1.75266,10.80,0.61
assessment answers,100,4252,3565,5102,6594,25939,1761,31589,1.000%,1.19370,0.33,2.22
81  ,100,4252,3565,5102,6594,25939,1761,31589,1.000%,1.19369,0.33,2.22
report  ,100,2556,1848,2331,2825,27325,710,30688,1.000%,.91134,0.22,0.36
82  ,100,2556,1848,2331,2825,27325,710,30688,1.000%,.91133,0.22,0.36
intellectual intro page,100,3078,1977,2796,2995,29861,639,30981,1.000%,.74708,4.34,0.26
85  ,100,3078,1977,2796,2995,29861,639,30981,1.000%,.74708,4.34,0.26
91  save for later,100,5949,3643,15385,22469,30691,1979,30729,3.000%,.62686,0.18,0.97
91  ,100,5949,3643,15385,22469,30691,1979,30729,3.000%,.62686,0.18,0.97
assessment list,100,3654,1933,8633,14932,28097,1041,31758,1.000%,.63177,0.15,0.25
93  ,100,3654,1933,8633,14932,28097,1041,31758,1.000%,.63177,0.15,0.25
assessment after save for later,100,4480,1495,17134,27077,29846,536,30735,1.000%,.57602,0.14,0.23
95  ,100,4480,1495,17134,27077,29846,536,30735,1.000%,.57602,0.14,0.23
Assessment answers,200,11183,2939,30736,30965,32672,657,34877,16.000%,.69086,0.22,1.30
97  ,100,5287,1717,25171,29428,30808,657,31124,4.000%,.49214,0.13,0.93
report,200,11398,7832,30683,30744,30974,543,31452,14.000%,.63579,0.19,0.25
98  ,100,5167,1385,17666,27830,30744,543,30877,3.000%,.43975,0.11,0.18
occupational intro ,100,7713,2231,23965,30689,30753,682,31620,7.000%,.39046,2.17,0.14
101  ,100,7713,2231,23965,30689,30753,682,31620,7.000%,.39046,2.17,0.14
