Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,1,777,777,777,777,777,777,777,0.000%,1.28700,0.55,0.17
PostDashboardUserData,1,497,497,497,497,497,497,497,0.000%,2.01207,1.98,0.42
AddOrganization,1,241,241,241,241,241,241,241,0.000%,4.14938,3.72,0.97
MapOrganizationUserInviteCode,1,232,232,232,232,232,232,232,0.000%,4.31034,1.74,1.07
SaveFeedbackForQuestions,1,243,243,243,243,243,243,243,0.000%,4.11523,1.22,1.27
GetQuestions,1,615,615,615,615,615,615,615,0.000%,1.62602,23.93,0.24
SaveAnswerForThemes,1,456,456,456,456,456,456,456,0.000%,2.19298,1.60,1.72
GetReports,1,234,234,234,234,234,234,234,0.000%,4.27350,1.02,0.98
GetThemeQuestions,1,382,382,382,382,382,382,382,0.000%,2.61780,29.30,0.40
GetThemeSummaryBYThemeCode,1,228,228,228,228,228,228,228,0.000%,4.38596,1.05,0.67
GetAssessmentList,1,561,561,561,561,561,561,561,0.000%,1.78253,4.43,0.41
MapAnswerToUser,1,228,228,228,228,228,228,228,0.000%,4.38596,0.84,1.10
AddUser,1,435,435,435,435,435,435,435,0.000%,2.29885,1.78,0.76
GetAllUsersCount,1,224,224,224,224,224,224,224,0.000%,4.46429,1.13,0.60
GetUserByID,1,224,224,224,224,224,224,224,0.000%,4.46429,0.85,0.59
PostPasscodes,1,225,225,225,225,225,225,225,0.000%,4.44444,0.82,0.99
ChangePasscode,1,435,435,435,435,435,435,435,0.000%,2.29885,0.55,0.00
GetPasscodes,1,451,451,451,451,451,451,451,0.000%,2.21729,0.42,0.45
GetUserData,1,229,229,229,229,229,229,229,0.000%,4.36681,0.83,1.07
TOTAL,19,364,243,561,615,777,224,777,0.000%,2.74606,5.03,0.63
