Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,1000,43690,25769,120909,138039,153499,521,168004,0.800%,5.91293,2.61,0.76
PostDashboardUserData,1000,17196,6933,48681,70154,108938,463,138877,0.600%,4.30415,4.26,0.90
AddOrganization,1000,12271,4221,31569,51613,90537,228,129748,1.800%,4.19266,3.85,0.96
MapOrganizationUserInviteCode,1000,10595,2646,31720,48605,75851,224,135759,0.500%,3.90897,1.61,0.96
SaveFeedbackForQuestions,1000,10626,2813,27272,49193,90161,233,147726,0.600%,3.73656,1.15,1.15
GetQuestions,1000,11601,3758,33855,48958,86403,473,136245,0.300%,3.76398,55.26,0.55
SaveAnswerForThemes,1000,12020,2423,42747,56995,90317,216,123611,0.700%,3.77309,2.79,2.93
GetReports,1000,8974,1887,25216,43536,69675,215,111563,0.100%,3.77421,0.91,0.87
GetThemeQuestions,1000,10150,1771,29450,46271,85359,246,127235,0.800%,3.77916,42.03,0.57
GetThemeSummaryBYThemeCode,1000,8553,1055,27429,43735,69555,212,111601,0.200%,3.79344,0.92,0.58
GetAssessmentList,1000,7269,1297,24839,31322,62675,527,109894,0.200%,3.79770,9.44,0.88
MapAnswerToUser,1000,9186,1653,25397,45712,69701,214,96691,0.600%,3.82115,0.77,0.95
AddUser,1000,8849,1265,27545,44190,66723,210,90555,0.200%,3.62808,2.83,1.19
GetAllUsersCount,1000,7454,1132,24665,36487,66965,218,96558,0.300%,3.64155,0.95,0.49
GetUserByID,1000,7469,880,24894,42664,66857,217,106199,0.300%,3.67078,0.72,0.49
PostPasscodes,1000,6192,737,22534,27943,60487,214,86732,0.200%,3.71507,0.70,0.82
ChangePasscode,1000,1113,259,957,3775,21001,211,54640,1.800%,3.77265,1.01,0.00
GetPasscodes,1000,9603,3672,27446,42859,66691,435,135715,0.300%,4.00376,0.79,0.81
GetUserData,1000,6020,795,21885,27745,54535,215,96636,0.000%,4.02023,0.77,0.98
TOTAL,19000,10991,2070,30754,50724,108585,210,168004,0.542%,65.40808,120.00,14.89
