Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,20,239,237,256,283,283,209,283,0.000%,17.73050,382.82,14.49
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,20,368,365,381,424,424,345,424,100.000%,16.54260,100.00,104.18
166 /adfs/oauth2/authorize,20,82,74,98,107,107,69,107,100.000%,21.78649,73.74,108.42
167 /adfs/oauth2/token?x-client-Ver=2.6.5,20,46,38,68,71,71,31,71,100.000%,23.78121,9.17,76.66
169 /UserManager/GetUserPreferencesWithLocation,20,237,133,444,461,472,21,472,0.000%,15.87302,19.40,12.02
168 /iid/register,10,372,378,386,386,390,324,390,0.000%,8.28500,4.50,5.27
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,10,23,25,35,35,35,12,35,0.000%,11.84834,4.76,3.91
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,20,12470,12333,12870,12884,12884,12047,12884,0.000%,1.54967,6434.12,0.61
172 /Audit/GetLastPerformCheckListDetails,20,91,75,152,199,199,42,199,0.000%,70.42254,57.22,221.45
173 /a,20,52,0,114,117,117,0,117,100.000%,98.03922,6013.33,85.35
174 /a,10,0,0,0,0,0,0,0,100.000%,117.64706,139.48,0.00
175 /Audit/DownloadImage,10,18,15,26,26,33,12,33,0.000%,90.09009,2200.43,25.07
176 /Audit/GetLastPerformCheckListDetails,10,26,27,31,31,31,17,31,0.000%,85.47009,69.44,29.88
177 /Audit/DownloadImage,10,14,15,17,17,18,9,18,0.000%,97.08738,2257.85,27.02
179 /Audit/DownloadImage,10,14,13,17,17,19,9,19,0.000%,90.09009,2200.43,25.07
178 /Audit/DownloadImage,10,15,15,18,18,19,13,19,0.000%,83.33333,2074.46,23.19
180 /Audit/DownloadImage,10,16,16,19,19,19,12,19,0.000%,83.33333,1676.51,23.19
181 /a,10,0,0,0,0,0,0,0,100.000%,95.23810,112.91,0.00
