Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,10,476,464,521,521,526,446,526,0.000%,7.28332,3.12,0.94
PostDashboardUserData,10,381,372,405,405,421,357,421,0.000%,7.83699,7.71,1.65
AddOrganization,10,240,231,266,266,288,222,288,0.000%,8.74891,7.84,2.05
MapOrganizationUserInviteCode,10,321,256,477,477,560,228,560,0.000%,6.95894,2.81,1.73
SaveFeedbackForQuestions,10,404,311,589,589,700,230,700,0.000%,6.83060,2.03,2.11
GetQuestions,10,692,627,876,876,936,513,936,0.000%,5.09424,74.99,0.75
SaveAnswerForThemes,10,439,466,517,517,537,229,537,0.000%,6.00962,4.38,4.71
GetReports,10,269,245,315,315,326,227,326,0.000%,6.83527,1.63,1.58
GetThemeQuestions,10,400,398,515,515,537,305,537,0.000%,5.97372,66.87,0.91
GetThemeSummaryBYThemeCode,10,255,233,314,314,319,223,319,0.000%,7.31529,1.74,1.12
GetAssessmentList,10,649,641,758,758,767,543,767,0.000%,5.49753,13.67,1.28
MapAnswerToUser,10,343,237,457,457,494,223,494,0.000%,6.39795,1.22,1.61
AddUser,10,295,232,448,448,450,219,450,0.000%,7.33676,5.70,2.41
GetAllUsersCount,10,233,231,246,246,250,219,250,0.000%,7.29927,1.85,0.98
GetUserByID,10,235,228,255,255,256,218,256,0.000%,7.23066,1.38,0.96
PostPasscodes,10,234,234,245,245,247,221,247,0.000%,7.20461,1.34,1.60
ChangePasscode,10,373,236,468,468,774,220,774,0.000%,5.79374,1.38,0.00
GetPasscodes,10,451,449,463,463,467,442,467,0.000%,5.87889,1.12,1.19
GetUserData,10,229,230,232,232,233,224,233,0.000%,6.82594,1.30,1.67
TOTAL,190,364,311,560,649,823,218,936,0.000%,23.35300,42.81,5.34
