Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,1000,41214,28022,113039,148202,168008,576,201861,5.300%,4.92742,2.66,0.60
PostDashboardUserData,1000,16730,7381,46345,55596,87369,567,111654,0.800%,4.30093,4.27,0.90
AddOrganization,1000,13659,5339,34641,53813,94329,296,168006,1.200%,3.25717,2.97,0.75
MapOrganizationUserInviteCode,1000,14879,5996,45201,58341,93745,270,168001,1.000%,3.26398,1.38,0.80
SaveFeedbackForQuestions,1000,16171,6156,45839,69645,101693,241,132423,1.400%,3.31794,1.07,1.01
GetQuestions,1000,16861,7542,46582,61941,100355,523,168006,0.500%,3.32915,48.80,0.49
SaveAnswerForThemes,1000,15168,4929,45726,64283,115088,212,198188,1.100%,3.33366,2.48,2.58
GetReports,1000,13864,4002,43965,65682,111204,216,135772,0.900%,3.34293,0.85,0.76
GetThemeQuestions,1000,15117,4798,46022,67744,111619,281,130637,0.700%,3.34744,37.25,0.51
GetThemeSummaryBYThemeCode,1000,12949,3546,43661,63656,111125,213,122145,0.800%,3.37137,0.85,0.51
GetAssessmentList,1000,12611,2533,43087,56261,94787,531,114484,0.300%,3.28689,8.17,0.76
MapAnswerToUser,1000,11812,3282,32240,55843,110679,212,148200,0.300%,3.29329,0.65,0.82
AddUser,1000,11640,1404,30930,63496,112690,211,124200,0.400%,3.32066,2.60,1.09
GetAllUsersCount,1000,8540,822,24847,46233,94181,214,123322,0.200%,3.34664,0.86,0.45
GetUserByID,1000,8083,671,25017,45882,101242,211,130681,0.200%,3.40179,0.66,0.45
PostPasscodes,1000,7528,572,24727,45609,94490,212,118428,0.100%,3.64239,0.68,0.81
ChangePasscode,1000,1301,288,1891,6526,21001,211,30701,1.700%,3.70563,0.99,0.00
GetPasscodes,1000,7788,968,24543,43128,94556,428,124293,0.100%,3.72960,0.72,0.76
GetUserData,1000,4068,458,9707,24567,56101,213,122271,0.200%,3.76854,0.73,0.92
TOTAL,19000,13157,3532,42831,63576,113302,211,201861,0.905%,58.38734,107.50,13.24
