Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,10,501,470,561,561,603,454,603,0.000%,7.29927,3.12,0.94
PostDashboardUserData,10,405,397,444,444,496,356,496,0.000%,7.83699,7.71,1.65
AddOrganization,10,273,263,314,314,321,222,321,0.000%,8.43882,7.57,1.98
MapOrganizationUserInviteCode,10,281,276,321,321,365,222,365,0.000%,8.77193,3.55,2.18
SaveFeedbackForQuestions,10,344,357,395,395,422,249,422,0.000%,7.46269,2.22,2.31
GetQuestions,10,641,619,741,741,750,550,750,0.000%,5.88928,86.69,0.86
SaveAnswerForThemes,10,479,483,507,507,516,442,516,0.000%,6.83527,4.99,5.35
GetReports,10,295,282,332,332,409,250,409,0.000%,6.99301,1.67,1.61
GetThemeQuestions,10,418,361,584,584,585,301,585,0.000%,6.38570,71.48,0.97
GetThemeSummaryBYThemeCode,10,288,289,325,325,346,224,346,0.000%,6.90608,1.65,1.06
GetAssessmentList,10,656,634,711,711,802,543,802,0.000%,5.59910,13.92,1.30
MapAnswerToUser,10,470,462,552,552,600,299,600,0.000%,6.88705,1.31,1.73
AddUser,10,261,230,274,274,442,222,442,0.000%,7.60456,5.90,2.50
GetAllUsersCount,10,239,232,261,261,263,219,263,0.000%,8.80282,2.24,1.18
GetUserByID,10,239,234,260,260,264,224,264,0.000%,8.81834,1.68,1.17
PostPasscodes,10,229,229,231,231,244,224,244,0.000%,8.84173,1.64,1.96
ChangePasscode,10,342,231,458,458,471,227,471,0.000%,8.84956,2.11,0.00
GetPasscodes,10,451,444,472,472,489,430,489,0.000%,8.71080,1.66,1.77
GetUserData,10,236,234,246,246,271,218,271,0.000%,10.66098,2.03,2.60
TOTAL,190,371,321,584,626,741,218,802,0.000%,24.07806,44.14,5.51
