Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,50,504,493,575,618,682,427,682,0.000%,29.79738,39.28,3.84
PostDashboardUserData,50,466,453,574,607,650,339,650,0.000%,30.90235,30.39,6.52
AddOrganization,50,286,273,355,358,451,215,451,0.000%,30.92146,27.72,7.25
MapOrganizationUserInviteCode,50,341,347,412,421,467,226,467,0.000%,31.05590,12.56,7.70
SaveFeedbackForQuestions,50,332,314,427,449,482,239,482,0.000%,32.82994,9.71,10.16
GetQuestions,50,684,674,905,928,980,454,980,0.000%,26.28812,386.95,3.85
SaveAnswerForThemes,50,168166,168164,168198,168199,168211,168119,168211,100.000%,.29484,0.86,0.00
GetReports,50,664,643,871,894,1801,428,1801,0.000%,21.84360,5.20,5.03
GetThemeQuestions,50,644,674,817,831,928,292,928,0.000%,20.96436,234.66,3.19
GetThemeSummaryBYThemeCode,50,467,455,598,631,662,308,662,0.000%,18.46381,4.40,2.83
GetAssessmentList,50,833,805,1003,1022,1090,544,1090,0.000%,16.91475,42.82,3.93
MapAnswerToUser,50,474,447,638,644,751,218,751,0.000%,21.56102,4.11,5.41
AddUser,50,252,228,314,333,624,213,624,0.000%,25.22704,19.59,8.30
GetAllUsersCount,50,248,228,364,379,457,213,457,0.000%,28.65330,7.28,3.83
GetUserByID,50,225,225,239,240,244,211,244,0.000%,31.82686,6.06,4.23
PostPasscodes,50,236,224,236,264,436,211,436,0.000%,29.41176,5.46,6.52
ChangePasscode,50,21017,21019,21024,21026,21027,21002,21027,100.000%,2.22242,4.27,0.00
GetPasscodes,50,444,436,449,453,582,418,582,0.000%,25.87992,4.93,5.26
GetUserData,50,222,223,228,229,236,210,236,0.000%,31.70577,6.04,7.74
TOTAL,950,10342,435,21007,168125,168191,210,168211,10.526%,4.80368,10.02,0.90
