Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,500,12018,7533,28382,33889,45998,575,55025,0.000%,8.94807,3.83,1.15
PostDashboardUserData,500,5895,3481,13515,23306,31467,438,34662,0.000%,6.67005,6.56,1.41
AddOrganization,500,6364,2945,22049,25523,45757,281,70459,0.000%,3.83739,3.44,0.90
MapOrganizationUserInviteCode,500,6740,3409,21436,25205,44152,268,68917,0.000%,3.83421,1.55,0.95
SaveFeedbackForQuestions,500,8150,4060,23807,33587,50911,285,70571,0.000%,3.85901,1.15,1.19
GetQuestions,500,9263,4983,23855,32227,58577,601,67078,0.000%,3.94596,58.08,0.58
SaveAnswerForThemes,500,7093,3883,21718,25080,45983,219,67035,0.000%,3.95892,2.89,3.10
GetReports,500,6991,3006,22084,27274,64934,219,70083,0.000%,3.96876,0.95,0.91
GetThemeQuestions,500,7757,3703,22879,28295,65290,274,70215,0.000%,3.96429,44.37,0.60
GetThemeSummaryBYThemeCode,500,6015,1765,12998,25285,65116,217,70341,0.000%,4.03297,0.96,0.62
GetAssessmentList,500,6034,1679,15615,25586,49107,530,70245,0.000%,4.26134,10.60,0.99
MapAnswerToUser,500,5801,1203,15906,25038,64934,212,69909,0.000%,4.28710,0.82,1.08
AddUser,500,4138,735,10138,22420,45481,212,68077,0.000%,4.38958,3.41,1.44
GetAllUsersCount,500,3110,632,7509,13624,26463,217,65058,0.000%,4.63990,1.18,0.62
GetUserByID,500,3109,548,7621,18517,28301,215,70341,0.000%,4.70110,0.90,0.62
PostPasscodes,500,2679,472,5679,10231,33632,215,65923,0.000%,4.71872,0.88,1.05
ChangePasscode,500,1122,290,1517,5598,20999,212,22448,1.200%,5.33897,1.38,0.00
GetPasscodes,500,3401,749,9507,13090,27555,436,67216,0.000%,5.56967,1.06,1.13
GetUserData,500,1688,391,3653,6745,24660,213,67202,0.000%,5.86937,1.12,1.43
TOTAL,9500,5651,1781,14767,25030,47485,212,70571,0.063%,69.22634,126.98,15.83
