Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,50,648,655,811,934,1049,430,1049,0.000%,25.29084,10.82,3.26
PostDashboardUserData,50,984,988,1359,1441,1562,474,1562,0.000%,19.07669,18.76,4.02
AddOrganization,50,638,696,924,926,938,328,938,0.000%,17.58706,15.77,4.12
MapOrganizationUserInviteCode,50,661,588,924,966,1220,263,1220,0.000%,18.45700,7.46,4.58
SaveFeedbackForQuestions,50,745,630,968,1000,3715,261,3715,0.000%,10.70893,3.18,3.32
GetQuestions,50,2823,2247,4938,5224,12977,590,12977,0.000%,3.51890,51.80,0.52
SaveAnswerForThemes,50,778,651,1269,1552,2908,250,2908,0.000%,3.54484,2.59,2.78
GetReports,50,863,526,1909,2220,4567,230,4567,0.000%,3.55669,0.85,0.82
GetThemeQuestions,50,1190,693,2918,3291,4853,292,4853,0.000%,3.60855,40.39,0.55
GetThemeSummaryBYThemeCode,50,708,497,1580,1843,3174,214,3174,0.000%,3.96605,0.95,0.61
GetAssessmentList,50,968,674,2337,2577,3321,533,3321,0.000%,3.86429,9.61,0.90
MapAnswerToUser,50,521,386,596,1104,2712,226,2712,0.000%,3.95851,0.75,0.99
AddUser,50,312,247,511,609,661,215,661,0.000%,4.25279,3.30,1.40
GetAllUsersCount,50,301,240,467,489,617,219,617,0.000%,4.39638,1.12,0.59
GetUserByID,50,321,241,478,577,1929,222,1929,0.000%,4.48793,0.85,0.60
PostPasscodes,50,294,241,456,459,678,215,678,0.000%,4.60745,0.85,1.02
ChangePasscode,50,306,239,470,476,652,220,652,0.000%,4.71165,1.12,0.00
GetPasscodes,50,453,450,475,478,502,423,502,0.000%,4.80584,0.92,0.98
GetUserData,50,234,231,242,245,392,218,392,0.000%,4.92805,0.94,1.20
TOTAL,950,723,481,1248,2247,4625,214,12977,0.000%,43.47030,79.69,9.94
