Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,500,1671,1131,3185,3679,3909,436,3941,0.000%,99.84026,131.63,12.87
PostDashboardUserData,500,3848,4161,5005,5041,5141,1024,5167,0.000%,59.12961,58.15,12.47
AddOrganization,500,2477,2486,3642,3659,3681,688,3690,0.000%,60.19745,53.97,14.11
MapOrganizationUserInviteCode,500,1276,1011,2664,2693,2725,608,3792,0.000%,83.68201,33.83,20.76
SaveFeedbackForQuestions,500,1411,1240,2067,2410,3872,603,7561,0.000%,50.55101,14.96,15.65
GetQuestions,500,5745,6060,8608,8925,9407,1278,9539,0.000%,39.81843,586.12,5.83
SaveAnswerForThemes,500,3813,4072,6093,6467,7054,823,7085,0.000%,40.92323,29.85,32.05
GetReports,500,2208,2105,3627,4943,6883,1065,7301,0.000%,38.20877,9.10,8.81
GetThemeQuestions,500,4563,4142,7070,7494,7919,1445,8106,0.000%,41.55585,465.15,6.33
GetThemeSummaryBYThemeCode,500,4033,3987,5909,6307,6751,1029,7188,0.000%,31.58759,7.53,4.84
GetAssessmentList,500,5178,5603,6710,6766,7509,2522,8140,0.000%,28.80682,72.50,6.70
MapAnswerToUser,500,3258,2204,5426,5486,5528,833,5888,0.000%,43.16298,8.22,10.83
AddUser,500,1199,770,1856,4083,4959,474,4985,0.000%,49.39247,38.35,16.26
GetAllUsersCount,500,988,765,1089,1495,4960,564,5051,0.000%,63.66183,16.16,8.52
GetUserByID,500,1035,1009,1347,1374,1407,596,1441,0.000%,129.66805,24.69,17.22
PostPasscodes,500,573,531,833,1057,1187,384,1232,0.000%,154.08320,28.59,34.16
ChangePasscode,500,749,738,817,862,1278,449,1308,0.000%,143.06152,34.09,0.00
GetPasscodes,500,712,679,878,884,889,437,904,0.000%,189.03592,36.00,38.40
GetUserData,500,456,523,581,589,595,212,598,0.000%,238.77746,45.47,58.30
TOTAL,9500,2379,1454,5510,6609,8147,212,9539,0.000%,204.61790,385.01,46.80
