Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,10,445,437,453,453,519,421,519,0.000%,7.31529,9.64,0.94
PostDashboardUserData,10,357,357,370,370,384,336,384,0.000%,7.91766,7.79,1.67
AddOrganization,10,239,232,247,247,290,218,290,0.000%,8.89680,7.98,2.09
MapOrganizationUserInviteCode,10,237,226,264,264,293,215,293,0.000%,8.41751,3.40,2.09
SaveFeedbackForQuestions,10,236,232,253,253,266,219,266,0.000%,8.61326,2.55,2.67
GetQuestions,10,489,496,505,505,541,444,541,0.000%,7.19424,105.90,1.05
SaveAnswerForThemes,10,168158,168145,168193,168193,168213,168120,168213,100.000%,.05916,0.17,0.00
GetReports,10,455,453,466,466,504,437,504,0.000%,7.46269,1.78,1.72
GetThemeQuestions,10,258,249,281,281,284,235,284,0.000%,8.92857,99.94,1.36
GetThemeSummaryBYThemeCode,10,234,230,245,245,255,222,255,0.000%,9.14077,2.18,1.40
GetAssessmentList,10,546,543,561,561,566,522,566,0.000%,7.11238,18.00,1.65
MapAnswerToUser,10,226,226,232,232,237,222,237,0.000%,9.18274,1.75,2.30
AddUser,10,224,221,229,229,253,211,253,0.000%,9.28505,7.21,3.06
GetAllUsersCount,10,246,224,236,236,447,213,447,0.000%,9.31966,2.37,1.25
GetUserByID,10,421,440,455,455,456,224,456,0.000%,7.78816,1.48,1.03
PostPasscodes,10,225,223,236,236,241,216,241,0.000%,9.49668,1.76,2.11
ChangePasscode,10,21019,21020,21029,21029,21030,21005,21030,100.000%,.45752,0.88,0.00
GetPasscodes,10,440,439,454,454,454,415,454,0.000%,7.82473,1.49,1.59
GetUserData,10,223,223,228,228,229,211,229,0.000%,9.31966,1.77,2.28
TOTAL,190,10246,266,21005,21030,168185,211,168213,10.526%,.97136,2.03,0.18
