Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,1,632,632,632,632,632,632,632,0.000%,1.58228,0.38,0.20
PostDashboardUserData,1,421,421,421,421,421,421,421,0.000%,2.37530,2.34,0.50
AddOrganization,1,215,215,215,215,215,215,215,0.000%,4.65116,4.17,1.09
MapOrganizationUserInviteCode,1,228,228,228,228,228,228,228,0.000%,4.38596,1.77,1.09
SaveFeedbackForQuestions,1,249,249,249,249,249,249,249,0.000%,4.01606,1.19,1.24
GetQuestions,1,517,517,517,517,517,517,517,0.000%,1.93424,28.47,0.28
SaveAnswerForThemes,1,440,440,440,440,440,440,440,0.000%,2.27273,1.66,1.78
GetReports,1,243,243,243,243,243,243,243,0.000%,4.11523,0.98,0.95
GetThemeQuestions,1,365,365,365,365,365,365,365,0.000%,2.73973,30.67,0.42
GetThemeSummaryBYThemeCode,1,240,240,240,240,240,240,240,0.000%,4.16667,0.99,0.64
GetAssessmentList,1,588,588,588,588,588,588,588,0.000%,1.70068,4.23,0.40
MapAnswerToUser,1,224,224,224,224,224,224,224,0.000%,4.46429,0.85,1.12
AddUser,1,436,436,436,436,436,436,436,0.000%,2.29358,1.78,0.75
GetAllUsersCount,1,236,236,236,236,236,236,236,0.000%,4.23729,1.08,0.57
GetUserByID,1,234,234,234,234,234,234,234,0.000%,4.27350,0.81,0.57
PostPasscodes,1,240,240,240,240,240,240,240,0.000%,4.16667,0.77,0.92
ChangePasscode,1,449,449,449,449,449,449,449,0.000%,2.22717,0.53,0.00
GetPasscodes,1,423,423,423,423,423,423,423,0.000%,2.36407,0.45,0.48
GetUserData,1,228,228,228,228,228,228,228,0.000%,4.38596,0.84,1.07
TOTAL,19,347,249,517,588,632,215,632,0.000%,2.87443,5.24,0.66
