Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,100,791,892,1037,1049,1126,426,1144,0.000%,50.89059,21.77,6.56
PostDashboardUserData,100,1284,1198,2035,2071,2152,467,2162,0.000%,28.37684,27.91,5.99
AddOrganization,100,1350,1113,1430,2077,4117,527,23582,0.000%,3.78458,3.39,0.89
MapOrganizationUserInviteCode,100,1706,1197,4353,7655,9531,285,14794,0.000%,3.80402,1.54,0.94
SaveFeedbackForQuestions,100,1352,1160,2484,2942,4276,274,7984,0.000%,3.95241,1.17,1.22
GetQuestions,100,3494,2835,6691,8172,14467,547,16344,0.000%,4.03730,59.43,0.59
SaveAnswerForThemes,100,1798,1211,3766,5479,6857,229,13079,0.000%,4.12150,3.01,3.23
GetReports,100,1213,725,2068,2528,9590,228,11210,0.000%,4.34141,1.03,1.00
GetThemeQuestions,100,1987,1387,4679,5485,9287,280,12001,0.000%,4.61170,51.62,0.70
GetThemeSummaryBYThemeCode,100,1043,671,1975,3899,6736,225,10743,0.000%,4.93340,1.18,0.76
GetAssessmentList,100,933,744,1418,1613,3765,543,4620,0.000%,4.97463,12.37,1.16
MapAnswerToUser,100,575,492,875,1074,3114,221,4802,0.000%,5.32255,1.01,1.34
AddUser,100,475,333,697,975,3494,224,3568,0.000%,5.64016,4.38,1.86
GetAllUsersCount,100,493,380,708,864,1514,228,3975,0.000%,5.69022,1.44,0.76
GetUserByID,100,441,393,739,780,907,220,913,0.000%,5.72050,1.09,0.76
PostPasscodes,100,408,344,698,777,875,226,998,0.000%,5.71853,1.06,1.27
ChangePasscode,100,444,305,784,960,1881,213,3490,0.000%,5.82547,1.39,0.00
GetPasscodes,100,658,591,763,988,3439,444,3443,0.000%,5.97300,1.14,1.21
GetUserData,100,316,304,405,445,529,216,675,0.000%,6.16865,1.17,1.51
TOTAL,1900,1093,661,2071,3477,7663,213,23582,0.000%,56.99373,104.48,13.04
