Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,100,1316,1646,2029,2067,2157,429,2162,0.000%,36.48304,15.61,4.70
PostDashboardUserData,100,2619,2073,3724,3787,3905,559,3915,0.000%,16.50165,16.23,3.48
AddOrganization,100,1867,1374,3097,4912,5011,583,5011,0.000%,9.59785,8.60,2.25
MapOrganizationUserInviteCode,100,1674,1337,2744,3412,5071,442,5209,0.000%,9.49668,3.84,2.36
SaveFeedbackForQuestions,100,1424,1373,2108,2548,5260,326,5342,0.000%,10.98177,3.26,3.40
GetQuestions,100,1946,1797,2825,2983,3671,647,5469,0.000%,11.55268,170.05,1.69
SaveAnswerForThemes,100,1221,1056,1944,2095,2195,322,2203,0.000%,11.29944,8.24,8.85
GetReports,100,1157,1065,1576,2024,2116,637,2355,0.000%,10.86484,2.59,2.50
GetThemeQuestions,100,1271,1241,1601,1713,2413,682,2704,0.000%,10.71123,119.89,1.63
GetThemeSummaryBYThemeCode,100,943,944,1261,1362,1493,357,1507,0.000%,13.71178,3.27,2.10
GetAssessmentList,100,1322,1317,1810,1872,2022,645,2029,0.000%,12.87333,32.01,2.99
MapAnswerToUser,100,756,739,1133,1231,1347,267,1428,0.000%,12.62786,2.40,3.17
AddUser,100,545,519,829,911,1119,259,1264,0.000%,13.32623,10.35,4.39
GetAllUsersCount,100,488,447,653,1044,1108,216,1267,0.000%,13.88310,3.53,1.86
GetUserByID,100,493,476,762,867,1021,218,1037,0.000%,15.67890,2.99,2.08
PostPasscodes,100,448,450,714,758,784,217,843,0.000%,17.84758,3.31,3.96
ChangePasscode,100,571,502,899,1117,1243,222,2105,0.000%,19.04399,4.54,0.00
GetPasscodes,100,642,627,863,931,999,437,1725,0.000%,19.83733,3.78,4.03
GetUserData,100,275,263,327,334,457,214,724,0.000%,22.33639,4.25,5.45
TOTAL,1900,1104,878,2063,2796,3874,214,5469,0.000%,79.78835,146.26,18.25
