Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,100,687,723,950,997,1080,424,1111,0.000%,46.94836,61.89,6.05
PostDashboardUserData,100,1018,1033,1414,1481,1556,354,1584,0.000%,34.95281,34.37,7.37
AddOrganization,100,671,592,1010,1106,1111,415,1112,0.000%,32.66906,29.29,7.66
MapOrganizationUserInviteCode,100,633,458,1182,1255,1321,231,1372,0.000%,32.34153,13.08,8.02
SaveFeedbackForQuestions,100,527,461,718,751,931,336,1009,0.000%,35.38570,10.47,10.95
GetQuestions,100,812,778,1028,1060,1109,465,1165,0.000%,41.23711,607.00,6.04
SaveAnswerForThemes,100,168168,168168,168196,168199,168211,168113,168217,100.000%,.58787,1.72,0.00
GetReports,100,648,611,866,888,916,419,962,0.000%,36.01008,8.58,8.30
GetThemeQuestions,100,775,788,1276,1309,1381,243,1426,0.000%,28.60412,320.18,4.36
GetThemeSummaryBYThemeCode,100,608,637,842,880,997,228,1095,0.000%,24.73411,5.89,3.79
GetAssessmentList,100,1031,1065,1275,1313,1370,598,1413,0.000%,21.99736,55.68,5.11
MapAnswerToUser,100,549,531,916,1093,1242,221,1269,0.000%,23.84927,4.54,5.99
AddUser,100,409,291,865,957,1001,210,1008,1.000%,26.04167,20.20,8.57
GetAllUsersCount,100,423,439,674,717,815,221,817,0.000%,30.58104,7.76,4.09
GetUserByID,100,350,234,602,622,874,212,888,0.000%,36.91399,7.03,4.90
PostPasscodes,100,344,243,541,618,687,211,723,0.000%,41.30525,7.66,9.16
ChangePasscode,100,21015,21016,21025,21030,21035,20995,21036,100.000%,4.39097,8.43,0.00
GetPasscodes,100,442,442,457,461,466,419,476,0.000%,45.53734,8.67,9.25
GetUserData,100,224,224,231,234,242,212,245,0.000%,49.82561,9.49,12.16
TOTAL,1900,10491,583,21006,168131,168187,210,168217,10.579%,9.46621,19.75,1.77
