Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,20,228,234,251,269,269,196,269,0.000%,17.30104,373.54,14.14
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,20,452,454,473,477,477,406,477,100.000%,15.46790,93.56,97.44
166 /adfs/oauth2/authorize,20,95,95,99,110,110,86,110,100.000%,21.81025,73.87,108.58
167 /adfs/oauth2/token?x-client-Ver=2.6.5,20,54,51,61,63,63,49,63,100.000%,22.72727,8.77,73.31
169 /UserManager/GetUserPreferencesWithLocation,20,264,67,506,523,534,32,534,0.000%,15.45595,18.83,11.71
168 /iid/register,10,411,392,437,437,440,379,440,0.000%,8.19672,4.39,5.21
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,10,24,16,36,36,51,11,51,0.000%,11.58749,4.65,3.82
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,20,7383,7282,8390,8450,8450,5918,8450,0.000%,2.28232,5432.95,0.90
172 /Audit/GetLastPerformCheckListDetails,20,88,61,67,359,359,41,359,0.000%,9.14913,7.43,28.77
173 /a,20,143,1,274,608,936,0,936,100.000%,8.97666,550.59,7.82
174 /a,10,0,0,0,0,1,0,1,100.000%,4.72144,5.60,0.00
175 /Audit/DownloadImage,10,117,43,350,350,398,27,398,0.000%,4.65766,113.76,1.30
176 /Audit/GetLastPerformCheckListDetails,10,21,20,26,26,27,15,27,0.000%,4.83092,3.93,1.69
177 /Audit/DownloadImage,10,36,18,54,54,109,15,109,0.000%,4.85909,113.00,1.35
179 /Audit/DownloadImage,10,58,18,55,55,345,14,345,0.000%,4.95786,121.09,1.38
178 /Audit/DownloadImage,10,30,20,39,39,96,15,96,0.000%,5.01505,124.84,1.40
180 /Audit/DownloadImage,10,22,21,29,29,41,14,41,0.000%,5.05561,101.71,1.41
181 /a,10,0,0,0,0,1,0,1,100.000%,5.13347,6.09,0.00
182 /Audit/DownloadImage,20,86,32,342,390,427,13,427,0.000%,10.06036,373.30,4.20
183 /Audit/DownloadImage,10,63,23,85,85,362,15,362,0.000%,5.10204,124.62,1.42
184 /bag,20,296,83,936,1075,1075,67,1075,0.000%,11.94743,96.82,2.22
185 /Audit/DownloadImage,20,280,342,681,714,744,15,744,50.000%,15.58846,927.60,971.20
188 /Audit/UploadFile,10,1,1,2,2,2,1,2,100.000%,10.61571,26.41,0.00
187 /Audit/DownloadImage,10,87,61,79,79,373,29,373,0.000%,10.20408,205.29,2.84
186 /Audit/DownloadImage,10,35,24,44,44,105,14,105,0.000%,13.94700,340.65,3.88
189 /Audit/DownloadImage,10,21,20,29,29,30,12,30,0.000%,13.98601,325.26,3.89
190 /Audit/SaveAudit,10,25,25,31,31,34,21,34,0.000%,13.64256,2.74,152.81
191 /Audit/SaveAudit,10,23,22,27,27,28,21,28,0.000%,13.64256,2.74,152.81
192 /Audit/SaveAudit,10,26,26,32,32,32,20,32,0.000%,13.58696,2.73,152.19
196 /Audit/SaveAudit,10,20,20,21,21,30,16,30,0.000%,13.67989,2.75,153.23
194 /Audit/SaveAudit,10,21,21,24,24,25,16,25,0.000%,13.83126,2.78,154.93
193 /Audit/SaveAudit,10,23,22,28,28,36,19,36,0.000%,13.86963,2.79,155.36
199 /Audit/SaveAudit,10,22,23,27,27,27,15,27,0.000%,14.06470,2.83,157.54
198 /Audit/SaveAudit,10,21,20,26,26,31,15,31,0.000%,14.16431,2.85,158.66
197 /Audit/SaveAudit,10,21,20,27,27,32,15,32,0.000%,14.26534,2.87,159.79
195 /Audit/SaveAudit,10,22,23,26,26,28,15,28,0.000%,14.30615,2.88,160.25
200 /Audit/SaveAudit,10,21,21,24,24,24,16,24,0.000%,14.40922,2.90,161.40
203 /Audit/UploadFile,20,352,2,744,778,789,0,789,100.000%,13.78360,431.64,72.64
204 /Audit/UploadFile,10,18,18,25,25,27,10,27,100.000%,14.43001,35.91,0.00
201 /Audit/DownloadImage,10,56,47,75,75,85,35,85,0.000%,14.06470,282.96,3.91
202 /Audit/DownloadImage,10,22,18,32,32,40,14,40,0.000%,14.92537,371.55,4.15
205 /Audit/SaveChecklist,10,526,520,592,592,592,465,592,0.000%,8.17661,1.64,81.63
207 /Audit/UploadFile,10,0,1,1,1,2,0,2,100.000%,13.19261,32.83,0.00
208 /Audit/UploadFile,10,22,23,30,30,30,9,30,100.000%,12.80410,31.86,0.00
209 /Audit/UploadFile,10,26,25,33,33,45,17,45,100.000%,12.50000,31.10,0.00
206 /Audit/UploadFile,10,28,28,31,31,56,18,56,100.000%,12.16545,30.27,0.00
213 /Audit/UploadFile,20,138,60,300,322,329,16,329,100.000%,18.16530,763.03,10.87
210 /Audit/DownloadImage,10,70,58,121,121,123,35,123,0.000%,10.57082,245.83,2.94
212 /Audit/DownloadImage,10,13,13,15,15,19,12,19,0.000%,10.90513,219.39,3.04
211 /Audit/DownloadImage,10,14,14,19,19,19,11,19,0.000%,10.83424,269.70,3.02
214 /Audit/GetLastPerformCheckListDetails,10,20,21,24,24,27,14,27,0.000%,10.79914,8.77,3.91
215 /Audit/UploadFile,10,0,1,1,1,1,0,1,100.000%,11.07420,27.56,0.00
216 /Audit/UploadFile,10,31,31,52,52,55,10,55,100.000%,10.70664,26.64,0.00
217 /Audit/UploadFile,10,33,31,52,52,55,11,55,100.000%,10.49318,26.11,0.00
218 /Audit/UploadFile,10,31,23,58,58,59,12,59,100.000%,10.44932,26.00,0.00
220 /Audit/UploadFile,20,298,61,598,600,611,13,611,100.000%,13.39585,41.52,71.16
219 /Audit/DownloadImage,10,51,50,75,75,77,25,77,100.000%,10.53741,2.19,2.93
222 /Audit/GetLastPerformCheckListDetails,10,28,22,41,41,51,16,51,0.000%,10.76426,8.75,3.90
221 /Audit/SaveChecklist,10,453,434,497,497,517,382,517,0.000%,7.09220,1.43,70.80
223 /Audit/UploadFile,20,1,1,1,2,2,0,2,100.000%,22.39642,55.73,0.00
227 /a,20,2671,0,6862,7055,7274,0,7274,100.000%,2.65182,3173.60,8.23
225 /Audit/SaveChecklist,10,61,45,96,96,108,35,108,0.000%,10.76426,2.17,52.24
226 /log,10,0,0,0,0,0,0,0,100.000%,12.18027,14.44,0.00
224 /portal/api/web/mobileapp,10,909,234,1995,1995,2419,209,2419,0.000%,3.98406,5.72,1.44
