Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,2,258,258,258,258,258,258,258,0.000%,7.69231,166.08,6.29
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,2,453,453,453,453,453,453,453,100.000%,4.41501,26.64,27.78
166 /adfs/oauth2/authorize,2,95,95,95,95,95,95,95,100.000%,20.61856,69.67,102.49
167 /adfs/oauth2/token?x-client-Ver=2.6.5,2,56,56,56,56,56,56,56,100.000%,35.08772,13.53,112.90
169 /UserManager/GetUserPreferencesWithLocation,2,251,45,457,457,457,45,457,0.000%,4.34783,5.11,3.29
168 /iid/register,1,397,397,397,397,397,397,397,0.000%,2.51889,1.14,1.60
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,1,15,15,15,15,15,15,15,0.000%,66.66667,26.76,22.01
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,2,1665,1665,1665,1665,1665,1665,1665,0.000%,1.20048,2838.46,0.47
172 /Audit/GetLastPerformCheckListDetails,2,36,36,36,36,36,36,36,0.000%,55.55556,45.14,174.70
173 /a,2,39,0,79,79,79,0,79,100.000%,23.25581,1426.42,20.25
174 /a,1,0,0,0,0,0,0,0,100.000%,∞,0.00,0.00
175 /Audit/DownloadImage,1,18,18,18,18,18,18,18,0.000%,55.55556,1356.93,15.46
176 /Audit/GetLastPerformCheckListDetails,1,13,13,13,13,13,13,13,0.000%,76.92308,62.50,26.89
177 /Audit/DownloadImage,1,13,13,13,13,13,13,13,0.000%,76.92308,1788.91,21.41
179 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,2220.44,25.30
178 /Audit/DownloadImage,1,13,13,13,13,13,13,13,0.000%,76.92308,1914.89,21.41
180 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,1828.92,25.30
181 /a,1,0,0,0,0,0,0,0,100.000%,∞,0.00,0.00
182 /Audit/DownloadImage,2,15,10,21,21,21,10,21,0.000%,86.95652,3226.60,36.30
183 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,2220.44,25.30
184 /bag,2,281,281,281,281,281,281,281,0.000%,7.06714,57.27,1.31
185 /Audit/DownloadImage,2,117,12,222,222,222,12,222,50.000%,8.73362,519.70,544.12
188 /Audit/UploadFile,1,2,2,2,2,2,2,2,100.000%,500.00000,1244.14,0.00
187 /Audit/DownloadImage,1,24,24,24,24,24,24,24,0.000%,41.66667,838.26,11.60
186 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,2220.44,25.30
189 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,2114.17,25.30
190 /Audit/SaveAudit,1,16,16,16,16,16,16,16,0.000%,62.50000,12.57,700.07
191 /Audit/SaveAudit,1,15,15,15,15,15,15,15,0.000%,66.66667,13.41,746.74
192 /Audit/SaveAudit,1,15,15,15,15,15,15,15,0.000%,66.66667,13.41,746.74
196 /Audit/SaveAudit,1,14,14,14,14,14,14,14,0.000%,71.42857,14.37,800.08
194 /Audit/SaveAudit,1,14,14,14,14,14,14,14,0.000%,71.42857,14.37,800.08
193 /Audit/SaveAudit,1,14,14,14,14,14,14,14,0.000%,71.42857,14.37,800.08
199 /Audit/SaveAudit,1,14,14,14,14,14,14,14,0.000%,71.42857,14.37,800.08
198 /Audit/SaveAudit,1,16,16,16,16,16,16,16,0.000%,62.50000,12.57,700.07
197 /Audit/SaveAudit,1,14,14,14,14,14,14,14,0.000%,71.42857,14.37,800.08
195 /Audit/SaveAudit,1,14,14,14,14,14,14,14,0.000%,71.42857,14.37,800.08
200 /Audit/SaveAudit,1,16,16,16,16,16,16,16,0.000%,62.50000,12.57,700.07
203 /Audit/UploadFile,2,211,2,420,420,420,2,420,100.000%,4.70588,147.37,24.80
