Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,2,217,217,217,217,217,217,217,0.000%,9.17431,198.08,7.50
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,2,426,426,426,426,426,426,426,100.000%,4.69484,28.51,29.63
166 /adfs/oauth2/authorize,2,96,96,96,96,96,96,96,100.000%,20.61856,70.07,102.89
167 /adfs/oauth2/token?x-client-Ver=2.6.5,2,56,56,56,56,56,56,56,100.000%,35.71429,13.78,115.62
169 /UserManager/GetUserPreferencesWithLocation,2,229,29,429,429,429,29,429,0.000%,4.65116,5.71,3.52
168 /iid/register,1,387,387,387,387,387,387,387,0.000%,2.58398,1.44,1.64
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,1,13,13,13,13,13,13,13,0.000%,76.92308,30.87,25.39
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,2,2139,2139,2139,2139,2139,2139,2139,0.000%,.93502,3878.71,0.37
172 /Audit/GetLastPerformCheckListDetails,2,30,30,30,30,30,30,30,0.000%,66.66667,54.17,209.64
173 /a,2,27,0,55,55,55,0,55,100.000%,36.36364,2230.40,31.66
174 /a,1,0,0,0,0,0,0,0,100.000%,∞,0.00,0.00
175 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,2220.44,25.30
176 /Audit/GetLastPerformCheckListDetails,1,12,12,12,12,12,12,12,0.000%,83.33333,67.71,29.13
177 /Audit/DownloadImage,1,9,9,9,9,9,9,9,0.000%,111.11111,2583.98,30.92
179 /Audit/DownloadImage,1,7,7,7,7,7,7,7,0.000%,142.85714,3489.26,39.76
178 /Audit/DownloadImage,1,8,8,8,8,8,8,8,0.000%,125.00000,3111.69,34.79
180 /Audit/DownloadImage,1,8,8,8,8,8,8,8,0.000%,125.00000,2514.77,34.79
181 /a,1,0,0,0,0,0,0,0,100.000%,∞,0.00,0.00
182 /Audit/DownloadImage,2,10,7,14,14,14,7,14,0.000%,142.85714,5300.85,59.64
183 /Audit/DownloadImage,1,7,7,7,7,7,7,7,0.000%,142.85714,3489.26,39.76
184 /bag,2,255,255,255,255,255,255,255,0.000%,7.84314,63.56,1.46
185 /Audit/DownloadImage,2,103,10,197,197,197,10,197,50.000%,10.05025,598.05,626.15
188 /Audit/UploadFile,1,1,1,1,1,1,1,1,100.000%,1000.00000,2488.28,0.00
187 /Audit/DownloadImage,1,11,11,11,11,11,11,11,0.000%,90.90909,1828.92,25.30
186 /Audit/DownloadImage,1,8,8,8,8,8,8,8,0.000%,125.00000,3053.10,34.79
189 /Audit/DownloadImage,1,7,7,7,7,7,7,7,0.000%,142.85714,3322.27,39.76
190 /Audit/SaveAudit,1,15,15,15,15,15,15,15,0.000%,66.66667,13.41,746.74
191 /Audit/SaveAudit,1,12,12,12,12,12,12,12,0.000%,83.33333,16.76,933.43
192 /Audit/SaveAudit,1,13,13,13,13,13,13,13,0.000%,76.92308,15.47,861.63
196 /Audit/SaveAudit,1,13,13,13,13,13,13,13,0.000%,76.92308,15.47,861.63
194 /Audit/SaveAudit,1,32,32,32,32,32,32,32,0.000%,31.25000,6.29,350.04
