Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GetAllUser,1,746,746,746,746,746,746,746,0.00%,1.34048,1.77,0.17
PostDashboardUserData,1,373,373,373,373,373,373,373,0.00%,2.68097,2.64,0.57
AddOrganization,1,223,223,223,223,223,223,223,0.00%,4.4843,4.02,1.05
MapOrganizationUserInviteCode,1,230,230,230,230,230,230,230,0.00%,4.34783,1.76,1.08
SaveFeedbackForQuestions,1,244,244,244,244,244,244,244,0.00%,4.09836,1.21,1.27
GetQuestions,2,472,383,562,562,562,383,562,0.00%,0.01178,0.15,0
SaveAnswerForThemes,1,168168,168168,168168,168168,168168,168168,168168,100.00%,0.00595,0.02,0
GetReports,1,682,682,682,682,682,682,682,0.00%,1.46628,0.35,0.34
GetThemeQuestions,1,599,599,599,599,599,599,599,0.00%,1.7,18.69,0.25
GetThemeSummaryBYThemeCode,1,237,237,237,237,237,237,237,0.00%,4.21941,1.01,0.65
GetAssessmentList,1,581,581,581,581,581,581,581,0.00%,1.72117,4.36,0.4
MapAnswerToUser,1,236,236,236,236,236,236,236,0.00%,4.23729,0.81,1.06
AddUser,1,453,453,453,453,453,453,453,0.00%,2.20751,2.69,0.73
GetAllUsersCount,1,237,237,237,237,237,237,237,0.00%,4.21941,1.07,0.56
GetUserByID,1,243,243,243,243,243,243,243,0.00%,4.11523,0.78,0.55
PostPasscodes,1,229,229,229,229,229,229,229,0.00%,4.36681,0.81,0.97
ChangePasscode,1,21021,21021,21021,21021,21021,21021,21021,100.00%,0.04757,0.09,0
GetPasscodes,1,421,421,421,421,421,421,421,0.00%,2.3753,0.45,0.48
GetUserData,1,222,222,222,222,222,222,222,0.00%,4.5045,0.86,1.1
TOTAL,19,10289,373,746,21021,168168,222,168168,10.53%,0.09719,0.21,0.02
