Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
162 /adfs/oauth2/authorize,200,718,587,1396,1548,1869,208,1895,0.000%,86.54262,1868.53,70.74
165 /adfs/oauth2/authorize?response_type=code&client_id=900a74f1-d4fe-4b77-b6dd-e265712c9b0d&resource=https%3A%2F%2Fuat-services.greentickft.com%2F&redirect_uri=https%3A%2F%2Fuat-services.greentickft.com%2F&state=YT1odHRwcyUzQSUyRiUyRmxvZ2luLmdyZWVudGlja2Z0LmNvbSUyRmFkZnMmcj1odHRwcyUzQSUyRiUyRnVhdC1zZXJ2aWNlcy5ncmVlbnRpY2tmdC5jb20lMkY&x-client-CPU=64&x-client-DM=iPhone&x-client-Ver=2.6.5&x-client-SKU=iOS&x-client-OS=12.0.1&haschrome=1&client-request-id=F68B255A-AD71-45F8-B8ED-BBC8C6268013,200,1956,1820,2427,2807,2921,1631,3643,100.000%,51.73306,312.70,325.80
166 /adfs/oauth2/authorize,200,831,814,965,1037,1085,600,1094,100.000%,87.87346,297.41,437.29
167 /adfs/oauth2/token?x-client-Ver=2.6.5,200,438,473,606,623,695,45,712,100.000%,142.14641,54.83,458.20
169 /UserManager/GetUserPreferencesWithLocation,200,388,357,1001,1046,2029,18,3639,0.000%,46.52245,57.07,35.23
168 /iid/register,100,378,380,389,392,398,324,416,0.000%,24.45586,13.50,15.55
170 /RoleManager/GetALLUserLocationRolesByAccountAndModuleCode,100,217,41,568,672,763,9,1585,0.000%,25.72016,10.32,8.49
171 /Audit/GetAuditsByUserID?userID=UU0000011&Role=Auditor&LOBCode=LOB000001&BMCode=BM0000001&LocationCode=MCD0000001,200,90099,90032,90222,90380,90992,90010,91222,100.000%,2.12993,0.42,0.84
172 /Audit/GetLastPerformCheckListDetails,200,14200,14062,15596,15749,15972,10988,16157,0.000%,12.17360,9.89,38.28
173 /a,200,1133,1,3547,3688,3893,0,3914,100.000%,50.78720,3115.08,44.22
174 /a,100,0,0,0,0,1,0,1,100.000%,41.87605,49.65,0.00
175 /Audit/DownloadImage,100,1459,719,2479,2541,2675,305,2675,0.000%,37.06449,905.29,10.32
176 /Audit/GetLastPerformCheckListDetails,100,191,150,285,297,329,92,383,0.000%,100.30090,81.49,35.07
177 /Audit/DownloadImage,100,194,115,450,452,456,36,456,0.000%,81.90008,1904.66,22.79
179 /Audit/DownloadImage,100,133,132,175,178,183,36,184,0.000%,79.74482,1947.75,22.19
178 /Audit/DownloadImage,100,141,143,178,181,182,63,183,0.000%,75.87253,1888.74,21.12
180 /Audit/DownloadImage,100,146,145,175,181,183,55,184,0.000%,73.58352,1480.37,20.48
181 /a,100,0,0,0,0,0,0,0,100.000%,78.24726,92.77,0.00
182 /Audit/DownloadImage,200,204,172,341,349,357,35,359,0.000%,136.42565,5062.20,56.96
183 /Audit/DownloadImage,100,138,158,183,184,185,45,185,0.000%,70.57163,1723.70,19.64
