Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
235 /api/autoLogin,1,1289,1289,1289,1289,1289,1289,1289,0.000%,.77580,0.23,0.29
237 /api/userCount,1,324,324,324,324,324,324,324,0.000%,3.08642,0.79,1.01
234 /v3.0/505343723293899/activities,1,1613,1613,1613,1613,1613,1613,1613,0.000%,.61728,0.34,0.44
239 /api/userCount,2,1507,354,2660,2660,2660,354,2660,0.000%,.75047,11.11,0.90
240 /api/theme/question,1,439,439,439,439,439,439,439,0.000%,2.27790,30.65,0.79
241 /api/theme/question,1,889,889,889,889,889,889,889,0.000%,1.12486,15.14,0.39
242 /api/theme/getSummary,1,321,321,321,321,321,321,321,0.000%,3.11526,2.26,1.09
243 /api/theme/getSummary,1,326,326,326,326,326,326,326,0.000%,3.06748,2.23,1.07
244 /api/theme/getSummary,1,331,331,331,331,331,331,331,0.000%,3.02115,2.19,1.05
251 /api/answer,2,874,874,874,874,874,874,874,0.000%,2.28833,0.62,8.74
252 /api/userCount,2,1246,834,1658,1658,1658,834,1658,0.000%,1.20555,3.04,0.63
253 /api/getReport,1,824,824,824,824,824,824,824,0.000%,1.21359,5.50,0.48
254 /api/userCount,2,328,328,328,328,328,328,328,0.000%,6.09756,1.55,2.00
255 /api/registrationValidation,2,418,418,418,418,418,418,418,0.000%,4.77327,1.33,2.05
256 /api/otp,2,710,710,710,710,710,710,710,0.000%,2.81294,0.72,1.07
257 /api/user,2,683,683,683,683,683,683,683,0.000%,2.91971,1.12,1.50
258 /api/mapAnswerToUser,2,317,317,317,317,317,317,317,0.000%,6.30915,3.27,2.72
261 /api/createUserVital,2,2390,316,4464,4464,4464,316,4464,0.000%,.44773,3.45,0.53
259 /api/dashboard/userData,1,1251,1251,1251,1251,1251,1251,1251,0.000%,.79936,2.77,0.31
260 /api/getAssessmentList,1,811,811,811,811,811,811,811,0.000%,1.23305,4.18,0.48
262 /api/getReport,1,1273,1273,1273,1273,1273,1273,1273,0.000%,.78555,3.56,0.31
263 /api/getAssessmentList,1,813,813,813,813,813,813,813,0.000%,1.23001,4.17,0.48
266 /api/dashboard/userData,2,2993,1239,4747,4747,4747,1239,4747,0.000%,.42114,9.04,0.33
264 /api/getAssessmentList,1,814,814,814,814,814,814,814,0.000%,1.22850,4.16,0.48
265 /api/goal/userGoals,1,2694,2694,2694,2694,2694,2694,2694,0.000%,.37120,12.11,0.14
267 /api/theme/question,2,1419,1419,1419,1419,1419,1419,1419,0.000%,1.40746,23.02,0.49
268 /api/theme/question,2,1436,708,2165,2165,2165,708,2165,0.000%,.92208,15.79,0.79
269 /api/userCount,1,816,816,816,816,816,816,816,0.000%,1.22549,0.31,0.40
271 /api/theme/getSummary,1,321,321,321,321,321,321,321,0.000%,3.11526,2.01,1.09
270 /api/theme/getSummary,1,320,320,320,320,320,320,320,0.000%,3.12500,2.02,1.09
272 /api/theme/getSummary,2,328,328,328,328,328,328,328,0.000%,6.07903,3.93,2.12
273 /api/answer,2,879,879,879,879,879,879,879,0.000%,2.27531,0.62,9.79
274 /api/getReport,2,2284,1266,3302,3302,3302,1266,3302,0.000%,.60533,5.10,0.48
275 /api/getAssessmentList,1,798,798,798,798,798,798,798,0.000%,1.25313,4.25,0.49
277 /api/dashboard/userData,1,1238,1238,1238,1238,1238,1238,1238,0.000%,.80775,2.80,0.32
278 /api/getAnswer,2,328,328,328,328,328,328,328,0.000%,6.09756,29.92,2.41
279 /api/theme/question,2,399,399,399,399,399,399,399,0.000%,5.00000,56.55,1.73
283 /api/theme/getSummary,2,3717,329,7105,7105,7105,329,7105,0.000%,.28133,6.25,0.32
282 /api/dashboard/userData,1,2061,2061,2061,2061,2061,2061,2061,0.000%,.48520,1.68,0.19
281 /api/getAssessmentList,1,1304,1304,1304,1304,1304,1304,1304,0.000%,.76687,2.60,0.30
284 /api/dashboard/userData,1,753,753,753,753,753,753,753,0.000%,1.32802,4.60,0.52
280 /api/goal/userGoals,1,2658,2658,2658,2658,2658,2658,2658,0.000%,.37622,12.27,0.15
286 /api/answer,2,1598,1598,1598,1598,1598,1598,1598,0.000%,1.25156,0.34,4.21
287 /api/dashboard/userData,2,1969,770,3169,3169,3169,770,3169,0.000%,.63032,4.53,0.49
288 /api/getReport,1,1594,1594,1594,1594,1594,1594,1594,0.000%,.62735,2.55,0.25
289 /api/getAssessmentList,1,805,805,805,805,805,805,805,0.000%,1.24224,4.21,0.49
291 /api/theme/question,2,1229,1229,1229,1229,1229,1229,1229,0.000%,1.62734,26.75,0.56
296 /api/theme/getSummary,2,3665,340,6990,6990,6990,340,6990,0.000%,.28592,6.44,0.37
293 /api/dashboard/userData,1,805,805,805,805,805,805,805,0.000%,1.24224,4.30,0.49
295 /api/dashboard/userData,1,1575,1575,1575,1575,1575,1575,1575,0.000%,.63492,2.20,0.25
292 /api/getAssessmentList,1,814,814,814,814,814,814,814,0.000%,1.22850,4.16,0.48
294 /api/goal/userGoals,1,2665,2665,2665,2665,2665,2665,2665,0.000%,.37523,12.24,0.15
297 /api/theme/getSummary,1,791,791,791,791,791,791,791,0.000%,1.26422,0.90,0.44
298 /api/answer,2,881,881,881,881,881,881,881,0.000%,2.26757,0.61,9.82
299 /api/getAssessmentList,2,1841,807,2875,2875,2875,807,2875,0.000%,.69517,5.31,0.55
301 /api/dashboard/userData,1,1253,1253,1253,1253,1253,1253,1253,0.000%,.79808,2.76,0.31
302 /api/getReport,1,815,815,815,815,815,815,815,0.000%,1.22699,6.17,0.49
303 /api/theme/question,2,1196,1196,1196,1196,1196,1196,1196,0.000%,1.67224,32.64,0.58
304 /api/theme/getSummary,2,2824,327,5322,5322,5322,327,5322,0.000%,.37552,7.81,0.42
307 /api/dashboard/userData,1,782,782,782,782,782,782,782,0.000%,1.27877,4.43,0.50
308 /api/getAssessmentList,1,1262,1262,1262,1262,1262,1262,1262,0.000%,.79239,2.69,0.31
305 /api/goal/userGoals,1,2140,2140,2140,2140,2140,2140,2140,0.000%,.46729,15.24,0.18
309 /api/theme/getSummary,1,811,811,811,811,811,811,811,0.000%,1.23305,0.88,0.43
310 /api/answer,2,868,868,868,868,868,868,868,0.000%,2.30150,0.62,12.26
311 /api/dashboard/userData,2,2625,764,4487,4487,4487,764,4487,0.000%,.44553,4.39,0.44
314 /api/getReport,1,1586,1586,1586,1586,1586,1586,1586,0.000%,.63052,3.80,0.25
313 /api/getAssessmentList,1,819,819,819,819,819,819,819,0.000%,1.22100,4.14,0.48
312 /api/getAssessmentList,1,1318,1318,1318,1318,1318,1318,1318,0.000%,.75873,2.57,0.30
315 /api/goal/userGoals,2,2255,2255,2255,2255,2255,2255,2255,0.000%,.88652,28.91,0.34
316 /api/dashboard/userData,2,1883,1883,1883,1883,1883,1883,1883,0.000%,1.06213,3.68,0.42
317 /api/user/updateAcceptance,2,314,314,314,314,314,314,314,0.000%,6.36943,5.14,2.51
318 /api/goal/getFilteredRangeUserActivity,2,6251,1005,11497,11497,11497,1005,11497,0.000%,.17384,13.10,0.63
319 /api/goal/updateUserActivity,1,651,651,651,651,651,651,651,0.000%,1.53610,34.77,0.83
320 /api/goal/updateUserActivity,1,412,412,412,412,412,412,412,0.000%,2.42718,54.95,1.31
321 /api/goal/updateUserActivity,1,1076,1076,1076,1076,1076,1076,1076,0.000%,.92937,21.04,0.50
322 /api/goal/calculateuseractivity,1,666,666,666,666,666,666,666,0.000%,1.50150,6.16,0.60
323 /api/goal/updateUserActivity,1,391,391,391,391,391,391,391,0.000%,2.55754,57.89,1.39
324 /api/goal/calculateuseractivity,1,1115,1115,1115,1115,1115,1115,1115,0.000%,.89686,3.73,0.36
325 /api/goal/calculateuseractivity,1,632,632,632,632,632,632,632,0.000%,1.58228,6.58,0.63
326 /api/goal/updateUserGoals,1,480,480,480,480,480,480,480,0.000%,2.08333,0.57,1.14
327 /api/goal/calculateuseractivity,1,1086,1086,1086,1086,1086,1086,1086,0.000%,.92081,3.83,0.37
328 /api/goal/updateUserGoals,1,487,487,487,487,487,487,487,0.000%,2.05339,0.56,1.12
329 /api/goal/updateUserGoals,1,475,475,475,475,475,475,475,0.000%,2.10526,0.58,1.15
331 /api/goal/updateUserGoals,1,897,897,897,897,897,897,897,0.000%,1.11483,0.31,0.61
330 /api/goal/userGoals,1,2124,2124,2124,2124,2124,2124,2124,0.000%,.47081,15.37,0.18
332 /api/goal/updateUserActivity,2,1083,1083,1083,1083,1083,1083,1083,0.000%,1.84332,41.73,0.99
333 /api/goal/calculateuseractivity,2,639,639,639,639,639,639,639,0.000%,3.12989,12.90,1.25
335 /api/goal/updateUserGoals,2,9712,481,18944,18944,18944,481,18944,0.000%,.10552,10.31,0.38
