Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
305 /api/goal/userGoals,50,19411,18068,28464,30748,31263,8602,31263,8.000%,.36905,11.09,0.14
309 /api/theme/getSummary,50,9234,8477,17003,17742,18879,1278,18879,0.000%,.39154,0.28,0.14
310 /api/answer,100,19156,17852,29341,30722,30734,8603,30734,10.000%,.72999,0.23,3.89
311 /api/dashboard/userData,100,30986,23939,57956,58749,61758,4156,62265,0.000%,.60816,5.86,0.60
314 /api/getReport,50,11892,11260,15485,16193,29565,4740,29565,0.000%,.35921,2.17,0.14
313 /api/getAssessmentList,50,12466,13378,15941,16678,17252,6302,17252,0.000%,.40127,1.31,0.16
312 /api/getAssessmentList,50,13372,12556,18004,18851,21155,5648,21155,0.000%,.43393,1.42,0.17
315 /api/goal/userGoals,100,18349,18867,24021,25095,26922,7139,26922,0.000%,.90011,29.35,0.35
316 /api/dashboard/userData,100,11416,11502,15885,18749,22069,2845,22069,0.000%,1.06002,3.56,0.42
317 /api/user/updateAcceptance,100,9487,10153,14309,15540,16115,1037,16115,0.000%,1.18814,0.96,0.47
318 /api/goal/getFilteredRangeUserActivity,100,35613,15428,74885,80231,85450,982,86186,0.000%,.64354,48.47,2.32
319 /api/goal/updateUserActivity,50,5028,5326,8563,8777,11570,1146,11570,0.000%,.76896,17.41,0.42
320 /api/goal/updateUserActivity,50,4280,3589,8347,9523,11495,465,11495,0.000%,.85004,19.24,0.46
321 /api/goal/updateUserActivity,50,3466,2813,5917,6100,9014,1135,9014,0.000%,.97067,21.97,0.52
322 /api/goal/calculateuseractivity,50,4080,3865,7347,7703,12231,698,12231,0.000%,.94994,3.92,0.38
323 /api/goal/updateUserActivity,50,2713,1892,5240,5583,6364,1084,6364,0.000%,1.07294,24.29,0.58
324 /api/goal/calculateuseractivity,50,3086,2206,6753,7174,9242,893,9242,0.000%,.98130,4.06,0.39
325 /api/goal/calculateuseractivity,50,2773,2198,4768,4908,9568,835,9568,0.000%,1.05831,4.39,0.42
326 /api/goal/updateUserGoals,50,2669,1944,6399,7613,9660,702,9660,0.000%,1.09127,0.30,0.60
327 /api/goal/calculateuseractivity,50,4372,2771,9076,9810,12503,642,12503,0.000%,.92835,3.84,0.37
328 /api/goal/updateUserGoals,50,4065,2491,8656,9010,16318,603,16318,0.000%,.76316,0.21,0.42
329 /api/goal/updateUserGoals,50,4551,3557,8787,9109,14971,782,14971,0.000%,.73530,0.20,0.40
331 /api/goal/updateUserGoals,50,5181,4328,9005,9683,16793,977,16793,0.000%,.67851,0.19,0.37
330 /api/goal/userGoals,50,12721,11251,21222,22141,25696,4698,25696,0.000%,.60209,19.64,0.23
332 /api/goal/updateUserActivity,100,6101,4793,15019,16422,16676,1863,16676,0.000%,1.22279,27.68,0.66
333 /api/goal/calculateuseractivity,100,10203,9087,16812,20544,22101,3148,22101,0.000%,1.04161,4.29,0.42
335 /api/goal/updateUserGoals,100,79996,16267,166534,169798,174403,2228,177018,0.000%,.47573,46.50,1.71
334 /api/goal/userGoals,50,15558,12616,23784,25059,25743,6028,25743,0.000%,.45841,14.95,0.18
336 /api/goal/getFilteredRangeUserActivity,50,7740,6301,14964,15282,16818,2580,16818,0.000%,.46716,2.30,0.20
337 /api/goal/updateUserActivity,50,6327,5721,11684,12494,14724,1812,14724,0.000%,.44113,1.15,0.23
338 /api/goal/updateUserActivity,50,6770,5172,13411,13581,16007,2209,16007,0.000%,.43349,1.13,0.23
339 /api/goal/updateUserActivity,50,7670,7010,13063,13156,13635,2520,13635,0.000%,.45217,1.18,0.24
340 /api/goal/userGoals,50,17203,17610,22907,23734,25188,9559,25188,0.000%,.40347,13.16,0.16
344 /api/goal/updateUserActivity,50,6916,6544,10546,12524,15753,2273,15753,0.000%,.42114,1.10,0.22
341 /api/goal/userGoals,50,17559,17682,22508,23734,25091,9387,25091,0.000%,.39326,12.83,0.15
343 /api/goal/calculateuseractivity,50,11181,10420,16439,16636,17870,5166,17870,0.000%,.40838,1.68,0.16
342 /api/goal/userGoals,50,16957,16290,23742,25682,26446,6667,26446,0.000%,.43598,14.22,0.17
345 /api/goal/calculateuseractivity,50,9637,8743,15388,16566,22574,2544,22574,0.000%,.48499,2.00,0.19
347 /api/goal/calculateuseractivity,50,8398,7786,13586,14463,16387,2246,16387,0.000%,.54301,2.24,0.22
346 /api/goal/userGoals,50,11280,9886,18153,20894,23627,2575,23627,0.000%,.59462,19.39,0.23
348 /api/goal/calculateuseractivity,50,5466,4865,8289,9530,14938,1103,14938,0.000%,.77767,3.20,0.31
349 /api/goal/calculateuseractivity,100,4257,3727,7799,8517,10084,596,10084,0.000%,1.80080,7.42,0.72
350 /api/goal/getFilteredRangeUserActivity,100,593791,9246,1190082,1194791,1199761,578,1200986,50.000%,.08098,61.84,2.17
351 /api/goal/updateUserActivity,50,2165,1801,4917,5117,5430,347,5430,0.000%,1.26765,4.65,0.62
352 /api/goal/updateUserActivity,50,1725,1460,3413,3494,6906,310,6906,0.000%,1.42992,5.25,0.70
353 /api/goal/updateUserActivity,50,1584,1179,2875,3309,4597,315,4597,0.000%,1.62069,5.95,0.79
354 /api/goal/updateUserActivity,50,1504,1053,2642,5134,5584,335,5584,0.000%,1.56681,5.75,0.77
355 /api/goal/updateUserActivity,50,1132,856,2764,3223,5497,314,5497,0.000%,1.57114,5.76,0.77
356 /api/goal/updateUserActivity,50,1051,856,1670,2077,6909,313,6909,0.000%,1.42487,5.23,0.69
358 /api/goal/updateUserActivity,50,1170,765,2400,2589,8561,316,8561,0.000%,1.20773,4.43,0.59
357 /api/goal/updateUserActivity,50,1273,790,1580,2096,15464,314,15464,0.000%,.91804,3.37,0.45
359 /api/goal/updateUserActivity,50,1395,618,1592,5813,13167,331,13167,0.000%,.75434,2.77,0.37
360 /api/goal/updateUserActivity,50,1697,884,5153,5643,8354,340,8354,0.000%,.70429,2.58,0.34
363 /api/goal/updateUserActivity,50,2098,877,4671,7871,15741,324,15741,0.000%,.59604,2.19,0.29
362 /api/goal/updateUserActivity,50,2214,849,7826,8025,13646,315,13646,0.000%,.55766,2.05,0.27
361 /api/goal/updateUserActivity,50,2758,859,7222,8171,16967,349,16967,0.000%,.52903,1.94,0.26
364 /api/goal/calculateuseractivity,50,4825,1735,10710,13558,20416,691,20416,0.000%,.47678,1.96,0.19
